   5   6   9
   2   4   5   6   8  10  15  20  25
   2
        0     1.5  1.5  1.5  1.5  1.5  1.5  1.5  1.5  1.5
     0.25     1.5  1.5  1.5  1.5  1.5  1.5  1.5  1.5  1.5
      0.5     1.5  1.5  1.5  1.5  1.5  1.5  1.5  1.5  1.5
     0.75       2    2    2    2  1.5  1.5  1.5  1.5  1.5
        1     2.5  2.5  2.5  2.5    2    2    2    2    2
      1.5       3    3  2.5  2.5    2    2    2    2    2
   3
        0     1.5  1.5  1.5  1.5  1.5  1.5  1.5  1.5  1.5
     0.25       2    2    2    2    2    2  1.5  1.5  1.5
      0.5     2.5  2.5    2    2    2    2    2    2    2
     0.75       3    3  2.5  2.5  2.5  2.5    2    2    2
        1     3.5  3.5    3    3    3    3  2.5  2.5  2.5
      1.5       4  3.5    3    3    3    3  2.5  2.5  2.5
   4
        0     1.5  1.5  1.5  1.5  1.5  1.5  1.5  1.5  1.5
     0.25       3  2.5  2.5  2.5    2    2    2    2    2
      0.5     3.5    3    3    3  2.5  2.5  2.5  2.5  2.5
     0.75       4  3.5  3.5  3.5    3    3    3    3    3
        1       5    4    4    4  3.5  3.5    3    3    3
      1.5       5    4    4    4  3.5  3.5    3    3    3
   5
        0       2    2  1.5  1.5  1.5  1.5  1.5  1.5  1.5
     0.25       4    3  2.5  2.5    2    2    2    2    2
     0.33     4.5    4  3.5    3  2.5  2.5  2.5  2.5  2.5
      0.5       5  4.5    4  3.5    3    3    3    3    3
     0.75     5.5    5  4.5    4  3.5    3    3    3    3
        1       6    5    5  4.5  3.5  3.5  3.5  3.5  3.5
   6
        0       4    3  2.5  2.5  2.5  2.5  2.5    2    2
     0.25     4.5    4  3.5  3.5  3.5    3  2.5  2.5  2.5
     0.33       5  4.5    4    4  3.5    3  2.5  2.5  2.5
      0.5     5.5    5  4.5  4.5    4  3.5    3    3    3
     0.75       6  5.5    5    5  4.5    4  3.5  3.5  3.5
        1     7.6    6  5.5  5.5    5  4.5    4    4    4
